AniList 标签,分类,成人标签,AniList 定义,优化前译名,建议译名,采用译名,变更类型,状态,问题说明,参考语境,来源
Primarily Animal Cast,Cast-Main Cast,否,Main cast is mostly composed animal or animal-like characters.,,动物角色为主,动物角色为主,新增,已采用,旧词典缺失，本轮按 AniList 定义补齐,大陆动漫社区语境 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Primarily Child Cast,Cast-Main Cast,否,Main cast is mostly composed of characters below a high school age.,儿童角色为主,儿童角色为主,儿童角色为主,保持,沿用,本轮未发现明显歧义，后续继续复核,现有词典 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Primarily Female Cast,Cast-Main Cast,否,Main cast is mostly composed of female characters.,女性角色为主,女性角色为主,女性角色为主,保持,沿用,本轮未发现明显歧义，后续继续复核,现有词典 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Primarily Male Cast,Cast-Main Cast,否,Main cast is mostly composed of male characters.,男性角色为主,男性角色为主,男性角色为主,保持,沿用,本轮未发现明显歧义，后续继续复核,现有词典 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Primarily Teen Cast,Cast-Main Cast,否,Main cast is mostly composed of teen characters.,青少年角色为主,青少年角色为主,青少年角色为主,保持,沿用,本轮未发现明显歧义，后续继续复核,现有词典 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Prison,Setting-Scene,否,Partly or completely set in a prison.,监狱,监狱,监狱,保持,沿用,本轮未发现明显歧义，后续继续复核,现有词典 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Prophecy,Theme-Other,否,Features characters or plot elements that revolve around predicting the future.,,预言,预言,新增,已采用,旧词典缺失，本轮按 AniList 定义补齐,大陆动漫社区语境 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Prostitution,Sexual Content,是,Features characters who are paid for sexual favors.,,性交易,性交易,新增,已采用,旧词典缺失，本轮按 AniList 定义补齐,大陆动漫社区语境 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Proxy Battle,Theme-Other,否,"A proxy battle is a battle where humans use creatures/robots to do the fighting for them, either by commanding those creatures/robots or by simply evolving them/changing them into battle mode.",,代理战斗,代理战斗,新增,已采用,旧词典缺失，本轮按 AniList 定义补齐,大陆动漫社区语境 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Psychosexual,Theme-Other,否,Work that involves the psychological aspects of sexual impulses.,,性心理,性心理,新增,已采用,旧词典缺失，本轮按 AniList 定义补齐,大陆动漫社区语境 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Public Sex,Sexual Content,是,Features sexual acts performed in public settings.,,公开场合性爱,公开场合性爱,新增,已采用,旧词典缺失，本轮按 AniList 定义补齐,大陆动漫社区语境 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Puppetry,Technical,否,Animation style involving the manipulation of puppets to act out scenes.,木偶戏,木偶动画,木偶动画,优化,已采用,由“木偶戏”调整为更符合大陆动漫社区语境的说法,大陆动漫社区语境 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Rakugo,Theme-Arts,否,Rakugo is the traditional Japanese performance art of comic storytelling.,落语,落语,落语,保持,沿用,本轮未发现明显歧义，后续继续复核,现有词典 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Rape,Sexual Content,是,Features non-consensual sexual penetration.,,强奸,强奸,新增,已采用,旧词典缺失，本轮按 AniList 定义补齐,大陆动漫社区语境 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Real Robot,Theme-Sci-Fi-Mecha,否,Prominently features mechanical designs loosely influenced by real-world robotics.,真实系机器人,真实系机器人,真实系机器人,保持,沿用,本轮未发现明显歧义，后续继续复核,现有词典 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Rehabilitation,Theme-Drama,否,Prominently features the recovery of a character who became incapable of social life or work.,康复,社会复健,社会复健,优化,已采用,由“康复”调整为更符合大陆动漫社区语境的说法,大陆动漫社区语境 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Reincarnation,Theme-Other,否,"Features a character being born again after death, typically as another person or in another world.",转生,转生,转生,保持,沿用,本轮未发现明显歧义，后续继续复核,现有词典 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Religion,Theme-Other,否,"Centers on the belief that humanity is related to supernatural, transcendental, and spiritual elements.",宗教,宗教,宗教,保持,沿用,本轮未发现明显歧义，后续继续复核,现有词典 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Rescue,Theme-Other,否,"Centers around operations that carry out urgent treatment of injuries, remove people from danger, or save lives. This includes series that are about search-and-rescue teams, trauma surgeons, firefighters, and more.",,救援,救援,新增,已采用,旧词典缺失，本轮按 AniList 定义补齐,大陆动漫社区语境 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Restaurant,Setting-Scene,否,Features a business that prepares and serves food and drinks to customers. Also encompasses cafes and bistros.,,餐饮店,餐饮店,新增,已采用,旧词典缺失，本轮按 AniList 定义补齐,大陆动漫社区语境 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Revenge,Theme-Drama,否,Prominently features a character who aims to exact punishment in a resentful or vindictive manner.,复仇,复仇,复仇,保持,沿用,本轮未发现明显歧义，后续继续复核,现有词典 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Reverse Isekai,Theme-Fantasy,否,Features a character from a fantasy world who is transported into a modern-day setting.,,反向异世界,反向异世界,新增,已采用,旧词典缺失，本轮按 AniList 定义补齐,大陆动漫社区语境 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Rimjob,Sexual Content,是,Features oral sex performed on the anus.,,舔肛,舔肛,新增,已采用,旧词典缺失，本轮按 AniList 定义补齐,大陆动漫社区语境 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Robots,Cast-Traits,否,Prominently features humanoid machines.,机器人,机器人,机器人,保持,沿用,本轮未发现明显歧义，后续继续复核,现有词典 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Rock Music,Theme-Arts-Music,否,"Centers on the musical style of rock, not to be applied to anime that use rock in its soundtrack.",,摇滚乐,摇滚乐,新增,已采用,旧词典缺失，本轮按 AniList 定义补齐,大陆动漫社区语境 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Rotoscoping,Technical,否,"Animation technique that animators use to trace over motion picture footage, frame by frame, to produce realistic action.",转描,转描动画,转描动画,优化,已采用,由“转描”调整为更符合大陆动漫社区语境的说法,大陆动漫社区语境 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Royal Affairs,Theme-Other,否,"Features nobility, alliances, arranged marriage, succession disputes, religious orders and other elements of royal politics.",,宫廷政治,宫廷政治,新增,已采用,旧词典缺失，本轮按 AniList 定义补齐,大陆动漫社区语境 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Rugby,Theme-Game-Sport,否,Centers around the sport of rugby.,,橄榄球,橄榄球,新增,已采用,旧词典缺失，本轮按 AniList 定义补齐,大陆动漫社区语境 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Rural,Setting-Scene,否,Partly or completely set in the countryside.,乡村,乡村,乡村,保持,沿用,本轮未发现明显歧义，后续继续复核,现有词典 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Sadism,Sexual Content,是,"Prominently features characters deriving pleasure, especially sexual gratification, from inflicting pain, suffering, or humiliation on others.",,施虐癖,施虐癖,新增,已采用,旧词典缺失，本轮按 AniList 定义补齐,大陆动漫社区语境 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Samurai,Cast-Traits,否,Prominently features warriors of medieval Japanese nobility bound by a code of honor.,武士,武士,武士,保持,沿用,本轮未发现明显歧义，后续继续复核,现有词典 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Satire,Theme-Comedy,否,Prominently features the use of comedy or ridicule to expose and criticise social phenomena.,讽刺,讽刺,讽刺,保持,沿用,本轮未发现明显歧义，后续继续复核,现有词典 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Scat,Sexual Content,是,Lots of feces.,,粪便癖,粪便癖,新增,已采用,旧词典缺失，本轮按 AniList 定义补齐,大陆动漫社区语境 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
School,Setting-Scene,否,Partly or completely set in a primary or secondary educational institution.,校园,校园,校园,保持,沿用,本轮未发现明显歧义，后续继续复核,现有词典 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
School Club,Setting-Scene,否,Partly or completely set in a school club scene.,社团,社团,社团,保持,沿用,本轮未发现明显歧义，后续继续复核,现有词典 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Scissoring,Sexual Content,是,A form of sexual activity between women in which the genitals are stimulated by being rubbed against one another.,,交叉摩擦,交叉摩擦,新增,已采用,旧词典缺失，本轮按 AniList 定义补齐,大陆动漫社区语境 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Scuba Diving,Theme-Game-Sport,否,Prominently features characters diving with the aid of special breathing equipment.,水肺潜水,水肺潜水,水肺潜水,保持,沿用,本轮未发现明显歧义，后续继续复核,现有词典 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Seinen,Demographic,否,Target demographic is adult males.,青年向,青年向,青年向,保持,沿用,本轮未发现明显歧义，后续继续复核,现有词典 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Sex Toys,Sexual Content,是,Features objects that are designed to stimulate sexual pleasure.,,性玩具,性玩具,新增,已采用,旧词典缺失，本轮按 AniList 定义补齐,大陆动漫社区语境 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Shapeshifting,Theme-Fantasy,否,Features character(s) who changes one's appearance or form.,变身,变形,变形,优化,已采用,由“变身”调整为更符合大陆动漫社区语境的说法,大陆动漫社区语境 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Shimaidon,Sexual Content,是,Features a character who has sexual relations with two sisters.,,姐妹丼,姐妹丼,新增,已采用,旧词典缺失，本轮按 AniList 定义补齐,大陆动漫社区语境 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Ships,Theme-Other-Vehicle,否,Prominently features the use of sea-based transportation vessels.,船,船,船,保持,沿用,本轮未发现明显歧义，后续继续复核,现有词典 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Shogi,Theme-Game-Card & Board Game,否,Centers around the game of shogi.,将棋,将棋,将棋,保持,沿用,本轮未发现明显歧义，后续继续复核,现有词典 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Short-Form Chapter,Technical,否,Manga which consists of the chapters being up to two pages long.,,超短篇章节,超短篇章节,新增,已采用,旧词典缺失，本轮按 AniList 定义补齐,大陆动漫社区语境 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Shoujo,Demographic,否,Target demographic is teenage and young adult females.,少女向,少女向,少女向,保持,沿用,本轮未发现明显歧义，后续继续复核,现有词典 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Shounen,Demographic,否,Target demographic is teenage and young adult males.,少年向,少年向,少年向,保持,沿用,本轮未发现明显歧义，后续继续复核,现有词典 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Shrine Maiden,Cast-Traits,否,Prominently features a character who is a shrine maiden.,巫女,巫女,巫女,保持,沿用,本轮未发现明显歧义，后续继续复核,现有词典 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Sixty-nine,Sexual Content,是,Features two characters partaking in oral sex simultaneously.,,69式,69式,新增,已采用,旧词典缺失，本轮按 AniList 定义补齐,大陆动漫社区语境 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Skateboarding,Theme-Game-Sport,否,Centers around or prominently features skateboarding as a sport.,滑板,滑板,滑板,保持,沿用,本轮未发现明显歧义，后续继续复核,现有词典 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Skeleton,Cast-Traits,否,Prominently features skeleton(s) as a character.,骷髅,骷髅,骷髅,保持,沿用,本轮未发现明显歧义，后续继续复核,现有词典 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Slapstick,Theme-Comedy,否,Prominently features comedy based on deliberately clumsy actions or embarrassing events.,闹剧,肢体喜剧,肢体喜剧,优化,已采用,由“闹剧”调整为更符合大陆动漫社区语境的说法,大陆动漫社区语境 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Slavery,Theme-Other,否,"Prominently features slaves, slavery, or slave trade.",奴隶,奴隶,奴隶,保持,沿用,本轮未发现明显歧义，后续继续复核,现有词典 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Snowscape,Setting-Scene,否,Prominently or partially set in a snowy environment.,,雪景,雪景,新增,已采用,旧词典缺失，本轮按 AniList 定义补齐,大陆动漫社区语境 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Software Development,Theme-Other,否,"Centers around characters developing or programming a piece of technology, software, gaming, etc.",软件开发,软件开发,软件开发,保持,沿用,本轮未发现明显歧义，后续继续复核,现有词典 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Space,Setting-Universe,否,Partly or completely set in outer space.,太空,太空,太空,保持,沿用,本轮未发现明显歧义，后续继续复核,现有词典 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Space Opera,Theme-Sci-Fi,否,"Centers around space warfare, advanced technology, chivalric romance and adventure.",太空歌剧,太空歌剧,太空歌剧,保持,沿用,本轮未发现明显歧义，后续继续复核,现有词典 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Spearplay,Theme-Action,否,Prominently features the use of spears in combat.,枪术,枪术,枪术,保持,沿用,本轮未发现明显歧义，后续继续复核,现有词典 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Squirting,Sexual Content,是,Female ejaculation; features the expulsion of liquid from the female genitalia.,,潮吹,潮吹,新增,已采用,旧词典缺失，本轮按 AniList 定义补齐,大陆动漫社区语境 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Steampunk,Theme-Fantasy,否,Prominently features technology and designs inspired by 19th-century industrial steam-powered machinery.,蒸汽朋克,蒸汽朋克,蒸汽朋克,保持,沿用,本轮未发现明显歧义，后续继续复核,现有词典 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Stop Motion,Technical,否,Animation style characterized by physical objects being moved incrementally between frames to create the illusion of movement.,定格动画,定格动画,定格动画,保持,沿用,本轮未发现明显歧义，后续继续复核,现有词典 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Strap-on,Sexual Content,是,Features vaginal or anal intercourse with the aid of a strap-on.,,穿戴式假阳具,穿戴式假阳具,新增,已采用,旧词典缺失，本轮按 AniList 定义补齐,大陆动漫社区语境 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Succubus,Cast-Traits,否,"Prominently features a character who is a succubus, a creature in medieval folklore that typically uses their sexual prowess to trap and seduce people to feed off them.",魅魔,魅魔,魅魔,保持,沿用,本轮未发现明显歧义，后续继续复核,现有词典 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Suicide,Theme-Drama,否,The act or an instance of taking or attempting to take one's own life voluntarily and intentionally.,自杀,自杀,自杀,保持,沿用,本轮未发现明显歧义，后续继续复核,现有词典 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Sumata,Sexual Content,是,Pussyjob; features the stimulation of male genitalia by the thighs and labia majora of a female character.,,素股,素股,新增,已采用,旧词典缺失，本轮按 AniList 定义补齐,大陆动漫社区语境 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Sumo,Theme-Game-Sport,否,Centers around the sport of sumo.,相扑,相扑,相扑,保持,沿用,本轮未发现明显歧义，后续继续复核,现有词典 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Super Power,Theme-Fantasy,否,Prominently features characters with special abilities that allow them to do what would normally be physically or logically impossible.,超能力,超能力,超能力,保持,沿用,本轮未发现明显歧义，后续继续复核,现有词典 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Super Robot,Theme-Sci-Fi-Mecha,否,Prominently features large robots often piloted by hot-blooded protagonists.,超级机器人,超级机器人,超级机器人,保持,沿用,本轮未发现明显歧义，后续继续复核,现有词典 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Superhero,Theme-Fantasy,否,Prominently features super-powered humans who aim to serve the greater good.,超级英雄,超级英雄,超级英雄,保持,沿用,本轮未发现明显歧义，后续继续复核,现有词典 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Surfing,Theme-Game-Sport,否,Centers around surfing as a sport.,冲浪,冲浪,冲浪,保持,沿用,本轮未发现明显歧义，后续继续复核,现有词典 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Surreal Comedy,Theme-Comedy,否,"Prominently features comedic moments that defy casual reasoning, resulting in illogical events.",,超现实喜剧,超现实喜剧,新增,已采用,旧词典缺失，本轮按 AniList 定义补齐,大陆动漫社区语境 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Survival,Theme-Other,否,Centers around the struggle to live in spite of extreme obstacles.,生存,生存,生存,保持,沿用,本轮未发现明显歧义，后续继续复核,现有词典 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Swapping,Sexual Content,是,Features consensual partner swapping between couples during sexual activities.,,交换伴侣,交换伴侣,新增,已采用,旧词典缺失，本轮按 AniList 定义补齐,大陆动漫社区语境 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Sweat,Sexual Content,是,Lots of sweat.,,汗液,汗液,新增,已采用,旧词典缺失，本轮按 AniList 定义补齐,大陆动漫社区语境 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Swimming,Theme-Game-Sport,否,Centers around the sport of swimming.,游泳,游泳,游泳,保持,沿用,本轮未发现明显歧义，后续继续复核,现有词典 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Swordplay,Theme-Action,否,Prominently features the use of swords in combat.,剑术,剑术,剑术,保持,沿用,本轮未发现明显歧义，后续继续复核,现有词典 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Table Tennis,Theme-Game-Sport,否,"Centers around the sport of table tennis (also known as ""ping pong"").",乒乓球,乒乓球,乒乓球,保持,沿用,本轮未发现明显歧义，后续继续复核,现有词典 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Tanks,Theme-Other-Vehicle,否,Prominently features the use of tanks or other armoured vehicles.,坦克,坦克,坦克,保持,沿用,本轮未发现明显歧义，后续继续复核,现有词典 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Tanned Skin,Cast-Traits,否,Prominently features characters with tanned skin.,小麦色肌肤,晒黑肌肤,晒黑肌肤,优化,已采用,由“小麦色肌肤”调整为更符合大陆动漫社区语境的说法,大陆动漫社区语境 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Teacher,Cast-Traits,否,"Protagonist is an educator, usually in a school setting.",教师,教师,教师,保持,沿用,本轮未发现明显歧义，后续继续复核,现有词典 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Teens' Love,Theme-Romance,否,"Sexually explicit love-story between individuals of the opposite sex, specifically targeting females of teens and young adult age.",少年爱,TL（少女向成人恋爱）,TL（少女向成人恋爱）,优化,已采用,由“少年爱”调整为更符合大陆动漫社区语境的说法,大陆动漫社区语境 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Tennis,Theme-Game-Sport,否,Centers around the sport of tennis.,网球,网球,网球,保持,沿用,本轮未发现明显歧义，后续继续复核,现有词典 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Tentacles,Sexual Content,是,"Features the long appendages most commonly associated with octopuses or squid, often sexually penetrating a character.",,触手,触手,新增,已采用,旧词典缺失，本轮按 AniList 定义补齐,大陆动漫社区语境 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Terrorism,Theme-Other,否,Centers around the activities of a terrorist or terrorist organization.,恐怖主义,恐怖主义,恐怖主义,保持,沿用,本轮未发现明显歧义，后续继续复核,现有词典 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Threesome,Sexual Content,是,Features sexual acts between three people.,,3P,3P,新增,已采用,旧词典缺失，本轮按 AniList 定义补齐,大陆动漫社区语境 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Time Loop,Theme-Sci-Fi,否,A character is stuck in a repetitive cycle that they are attempting to break out of. This is distinct from a manipulating time of their own choice.,,时间循环,时间循环,新增,已采用,旧词典缺失，本轮按 AniList 定义补齐,大陆动漫社区语境 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Time Manipulation,Theme-Sci-Fi,否,Prominently features time-traveling or other time-warping phenomena.,时间操纵,时间操纵,时间操纵,保持,沿用,本轮未发现明显歧义，后续继续复核,现有词典 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Time Skip,Setting-Time,否,Features a gap in time used to advance the story.,时间跳跃,时间跳跃,时间跳跃,保持,沿用,本轮未发现明显歧义，后续继续复核,现有词典 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Tokusatsu,Theme-Sci-Fi,否,Prominently features elements that resemble special effects in Japanese live-action shows,特摄,特摄,特摄,保持,沿用,本轮未发现明显歧义，后续继续复核,现有词典 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Tomboy,Cast-Traits,否,Features a girl who exhibits characteristics or behaviors considered in many cultures to be typical of boys.,假小子,假小子,假小子,保持,沿用,本轮未发现明显歧义，后续继续复核,现有词典 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Torture,Theme-Other,否,The act of deliberately inflicting severe pain or suffering upon another individual or oneself as a punishment or with a specific purpose.,拷问,拷问,拷问,保持,沿用,本轮未发现明显歧义，后续继续复核,现有词典 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Tragedy,Theme-Drama,否,Centers around tragic events and unhappy endings.,悲剧,悲剧,悲剧,保持,沿用,本轮未发现明显歧义，后续继续复核,现有词典 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Trains,Theme-Other-Vehicle,否,Prominently features trains.,列车,列车,列车,保持,沿用,本轮未发现明显歧义，后续继续复核,现有词典 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Transgender,Cast-Traits,否,Features a character whose gender identity differs from the sex they were assigned at birth.,跨性别,跨性别,跨性别,保持,沿用,本轮未发现明显歧义，后续继续复核,现有词典 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Travel,Theme-Other,否,Centers around character(s) moving between places a significant distance apart.,旅行,旅行,旅行,保持,沿用,本轮未发现明显歧义，后续继续复核,现有词典 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Triads,Theme-Other-Organisations,否,Centered around Chinese organised crime syndicates.,三合会,三合会,三合会,保持,沿用,本轮未发现明显歧义，后续继续复核,现有词典 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Tsundere,Cast-Traits,否,Prominently features a character who acts cold and hostile in order to mask warmer emotions.,傲娇,傲娇,傲娇,保持,沿用,本轮未发现明显歧义，后续继续复核,现有词典 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Twins,Cast-Traits,否,Prominently features two or more siblings that were born at one birth.,双胞胎,双胞胎,双胞胎,保持,沿用,本轮未发现明显歧义，后续继续复核,现有词典 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Unrequited Love,Theme-Romance,否,One or more characters are experiencing an unrequited love that may or may not be reciprocated.,,单恋,单恋,新增,已采用,旧词典缺失，本轮按 AniList 定义补齐,大陆动漫社区语境 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Urban,Setting-Scene,否,Partly or completely set in a city.,都市,都市,都市,保持,沿用,本轮未发现明显歧义，后续继续复核,现有词典 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
Urban Fantasy,Setting-Universe,否,"Set in a world similar to the real world, but with the existence of magic or other supernatural elements.",都市奇幻,都市奇幻,都市奇幻,保持,沿用,本轮未发现明显歧义，后续继续复核,现有词典 + AniList 定义,"https://docs.anilist.co/reference/object/mediatag
https://github.com/nz3u/bangumi-data"
